"","State","County","fips","7_day_average_case_growth"
"1362","Idaho","Jefferson","16051",5.0196690544827
"1363","Idaho","Nez Perce","16069",2.8640312684165
"1364","Idaho","Payette","16075",2.37173251903117
"1365","Illinois","Douglas","17041",1.74894525723702
"1366","Illinois","Marshall","17123",3.20037105751391
"1367","Illinois","Morgan","17137",3.60259344791787
"1368","Indiana","DeKalb","18033",1.03687358658856
"1369","Indiana","Jasper","18073",2.33436394873676
"1370","Indiana","Rush","18139",0.0400927335139074
"1371","Iowa","Benton","19011",1.48017921756534
"1372","Kansas","Crawford","20037",0.55939963432251
"1373","Kansas","Neosho","20133",2.89715886354542
"1374","Kansas","Shawnee","20177",1.22485325611467
"1375","Kentucky","Grayson","21085",1.62625492125945
"1376","Kentucky","Laurel","21125",2.13257702914238
"1377","Kentucky","McCreary","21147",3.67267394689893
"1378","Kentucky","Wayne","21231",4.16996027458676
"1379","Louisiana","Jackson","22049",0.763011486099446
"1380","Louisiana","Jefferson Davis","22053",0.899300473606148
"1381","Louisiana","Morehouse","22067",2.07953413266951
"1382","Louisiana","Union","22111",1.80429904005345
"1383","Louisiana","Winn","22127",1.43513859980454
"1384","Maryland","Kent","24029",0.240860101705773
"1385","Massachusetts","Dukes","25007",0.21978021978022
"1386","Michigan","Iosco","26069",0.110741971207087
"1387","Michigan","Lenawee","26091",0.403521259671222
"1388","Michigan","Marquette","26103",2.02700776929513
"1389","Michigan","Sanilac","26151",2.2135132687366
"1390","Michigan","Van Buren","26159",1.29509687052048
"1391","Minnesota","Goodhue","27049",1.50644277191678
"1392","Minnesota","Winona","27169",0.915267278141101
"1393","Mississippi","Calhoun","28013",1.60946055944547
"1394","Mississippi","Prentiss","28117",3.36304128287979
"1395","Missouri","Cooper","29053",3.54005438130156
"1396","Missouri","McDonald","29119",0.187404840316206
"1397","Missouri","Montgomery","29139",3.20137464874307
"1398","Missouri","Newton","29145",1.19565741230227
"1399","Missouri","Platte","29165",1.7166158481981
"1400","Missouri","Ralls","29173",4.88849452824608
"1401","Missouri","Randolph","29175",2.89338402825245
"1402","Missouri","Shelby","29205",1.05101662466989
"1403","Montana","Hill","30041",0.705574912891986
"1404","Nebraska","Dodge","31053",0.756596563894105
"1405","Nevada","Lyon","32019",1.34949253426277
"1406","New Mexico","Eddy","35015",2.47369750269308
"1407","New Mexico","Rio Arriba","35039",1.04003930440299
"1408","New York","Chautauqua","36013",1.31240595693701
"1409","New York","Franklin","36033",1.12087912087912
"1410","North Carolina","Bertie","37015",1.35125016660336
"1411","North Carolina","Burke","37023",0.837486097474554
"1412","North Carolina","Caldwell","37027",1.32035948681672
"1413","North Carolina","Cleveland","37045",2.25220245905536
"1414","North Carolina","Duplin","37061",0.599469186681709
"1415","North Carolina","Hertford","37091",2.7248219850719
"1416","North Carolina","Lenoir","37107",0.969824904487091
"1417","North Carolina","McDowell","37111",1.83852709556839
"1418","North Carolina","Northampton","37131",3.76157686617047
"1419","North Dakota","Foster","38031",6.64520066862239
"1420","North Dakota","Stark","38089",4.81879637999835
"1421","Ohio","Fayette","39047",3.02098878084619
"1422","Ohio","Lawrence","39087",4.10543018924238
"1423","Ohio","Mercer","39107",2.28094536377174
"1424","Ohio","Pickaway","39129",0.211650526321977
"1425","Ohio","Seneca","39147",4.80132614398439
"1426","Ohio","Wayne","39169",1.16035977685003
"1427","Oklahoma","Adair","40001",2.31658859670181
"1428","Oklahoma","Bryan","40013",2.52161806088114
"1429","Oklahoma","Carter","40019",1.58239650495103
"1430","Oklahoma","Creek","40037",2.5072465496573
"1431","Oklahoma","Delaware","40041",0.873773081529577
"1432","Oklahoma","Osage","40113",1.66314520028216
"1433","Oklahoma","Pottawatomie","40125",2.07187618033577
"1434","Oklahoma","Stephens","40137",1.87635078952754
"1435","Oregon","Lincoln","41041",0.833893242795619
"1436","Pennsylvania","Greene","42059",0.911690380247845
"1437","Pennsylvania","Lawrence","42073",2.08332791555723
"1438","Pennsylvania","Lycoming","42081",1.99429315952495
"1439","Pennsylvania","Warren","42123",5.40916685653528
"1440","Rhode Island","Bristol","44001",0.56390977443609
"1441","Rhode Island","Kent","44003",0.733889614959284
"1442","Rhode Island","Newport","44005",0.601503759398496
"1443","Rhode Island","Providence","44007",0.488987952043832
"1444","Rhode Island","Washington","44009",0.411622276029056
"1445","South Carolina","Marion","45067",0.974715469020521
"1446","South Carolina","Union","45087",1.16673721700416
"1447","South Carolina","Williamsburg","45089",1.40105963846138
"1448","South Dakota","Lincoln","46083",1.46383299440642
"1449","South Dakota","Meade","46093",3.62615728799819
"1450","Tennessee","Bedford","47003",1.08886587715881
"1451","Tennessee","Hawkins","47073",5.83463345894789
"1452","Tennessee","Lewis","47101",5.30335266505832
"1453","Tennessee","White","47185",5.99253650776358
"1454","Texas","Atascosa","48013",1.09556647871191
"1455","Texas","Austin","48015",1.10956686638821
"1456","Texas","Blanco","48031",0
"1457","Texas","Burnet","48053",0.262845815472564
"1458","Texas","Coryell","48099",1.24183816807022
"1459","Texas","Eastland","48133",5.35697214341086
"1460","Texas","Erath","48143",1.90751906751804
"1461","Texas","Fayette","48149",0.378278596725358
"1462","Texas","Gaines","48165",2.90651048748182
"1463","Texas","Grimes","48185",0.587406534111766
"1464","Texas","Guadalupe","48187",0.721271065486514
"1465","Texas","Hale","48189",1.17260309556078
"1466","Texas","Hardin","48199",2.65688848113098
"1467","Texas","Hopkins","48223",2.3256078390307
"1468","Texas","Hunt","48231",1.73581722578867
"1469","Texas","Kaufman","48257",2.51519226702232
"1470","Texas","Kendall","48259",1.24597497906837
"1471","Texas","Lamar","48277",0.227076368229054
"1472","Texas","Liberty","48291",2.10886102841368
"1473","Texas","Limestone","48293",2.30819620456335
"1474","Texas","Llano","48299",0.494563575958925
"1475","Texas","Maverick","48323",3.47901114258629
"1476","Texas","Milam","48331",1.24185741501199
"1477","Texas","Orange","48361",5.0128528573953
"1478","Texas","Robertson","48395",1.28925638537274
"1479","Texas","San Patricio","48409",2.32171060715975
"1480","Texas","Terry","48445",3.05479582617537
"1481","Texas","Tom Green","48451",1.65424125861878
"1482","Texas","Walker","48471",0.441539437960249
"1483","Texas","Wharton","48481",1.74635132892944
"1484","Texas","Wilson","48493",0.844344005396183
"1485","Vermont","Lamoille","50015",0.340136054421769
"1486","Virginia","Frederick","51069",0.40623047806024
"1487","Virginia","Fredericksburg city","51630",1.68191529748276
"1488","Virginia","Madison","51113",1.57435053488729
"1489","Virginia","Manassas city","51683",0.317165903251512
"1490","Virginia","Mathews","51115",4.80488349185828
"1491","Virginia","Nelson","51125",5.12147166558931
"1492","Virginia","Nottoway","51135",0.645779757603263
"1493","Virginia","Orange","51137",1.37434624946756
"1494","Virginia","Roanoke","51161",1.75167866653692
"1495","Virginia","Shenandoah","51171",0.521841072253427
"1496","Washington","Ferry","53019",7.7960927960928
"1497","Washington","Okanogan","53047",1.89612571645742
"1498","West Virginia","Logan","54045",7.19280265158493
"1499","West Virginia","Marion","54049",1.12960664551852
"1500","West Virginia","Ohio","54069",0.949677242783795
"1501","West Virginia","Raleigh","54081",3.21819190724083
"1502","Wisconsin","Grant","55043",1.375159809647
"1503","Wisconsin","Iowa","55049",3.31460096165979
"1504","Wisconsin","Juneau","55057",1.68910299882985
"1505","Wisconsin","Monroe","55081",1.91943048950315
"1506","Wyoming","Albany","56001",0.500338066260987
"1507","Alabama","Bullock","01011",0.880833082729112
"1508","Alabama","Choctaw","01023",0.51007326941445
"1509","Alabama","Coosa","01037",2.54339447290705
"1510","Alabama","Crenshaw","01041",1.93098219394838
"1511","Alabama","DeKalb","01049",1.3926452297061
"1512","Alabama","Lowndes","01085",0.679463324089506
"1513","Alabama","Marengo","01091",1.34091046219358
"1514","Arizona","La Paz","04012",0.180707066431347
"1515","Arizona","Mohave","04015",0.832518498777304
"1516","Arkansas","Chicot","05017",5.22125995928591
"1517","Arkansas","Howard","05061",1.93319023302695
"1518","Arkansas","Lonoke","05085",2.90183014665953
"1519","Arkansas","Randolph","05121",3.04999502019156
"1520","Colorado","Kit Carson","08063",2.60495318634853
"1521","Colorado","Rio Grande","08105",0.326541274817137
"1522","Colorado","Washington","08121",0
"1523","Florida","Washington","12133",6.05689133332856
"1524","Georgia","Calhoun","13037",0.726059731752813
"1525","Georgia","Franklin","13119",1.61915746624752
"1526","Georgia","Haralson","13143",1.22837454042596
"1527","Georgia","McDuffie","13189",2.42110580607536
"1528","Georgia","Toombs","13279",2.53712044441993
"1529","Idaho","Custer","16037",5.66893424036281
"1530","Illinois","Franklin","17055",5.20810331809372
